datetime,temp_dry_bulb_C,wind_speed_m_s,wind_direction_degrees,temp_dew_C,humidity_percent,pressure_hPa,precip_past1h_mm,radiation_W_m2,cloud_cover_percent
2025-07-01 00:00:00,13.5,2.433333333333333,337.66388954423894,11.233333333333333,86.16666666666667,1023.7916666666665,0.0,0.0,0.0
2025-07-01 01:00:00,13.433333333333335,2.1,330.8326597982464,11.649999999999999,88.83333333333333,1024.0583333333334,0.0,0.0,0.0
2025-07-01 02:00:00,13.050000000000002,1.7999999999999998,317.8923982876169,11.449999999999998,90.16666666666667,1024.35,0.0,3.1666666666666665,0.0
2025-07-01 03:00:00,13.066666666666668,1.7,325.8859238908932,11.65,91.0,1024.6333333333334,0.0,53.0,0.0
2025-07-01 04:00:00,15.066666666666665,2.1333333333333333,351.2034527878606,12.383333333333335,84.33333333333333,1024.8500000000001,0.0,169.16666666666666,0.0
2025-07-01 05:00:00,16.616666666666667,3.016666666666667,4.667043050953511,12.366666666666667,75.83333333333333,1025.0166666666667,0.0,311.6666666666667,0.0
2025-07-01 06:00:00,18.083333333333332,3.1833333333333336,8.333566632730458,10.583333333333334,61.5,1025.1833333333334,0.0,458.8333333333333,0.0
2025-07-01 07:00:00,19.266666666666666,2.85,13.494913366166935,10.299999999999999,56.166666666666664,1025.5666666666668,0.0,600.6666666666666,0.0
2025-07-01 08:00:00,20.583333333333336,1.633333333333333,40.6404356052908,11.25,55.0,1025.7749999999999,0.0,723.8333333333334,0.0
2025-07-01 09:00:00,22.016666666666666,2.0500000000000003,112.93590071949771,11.716666666666667,52.0,1025.8083333333332,0.0,817.0,0.0
2025-07-01 10:00:00,23.53333333333333,3.1,141.99883046098606,12.866666666666667,51.333333333333336,1025.9333333333336,0.0,875.1666666666666,0.0
2025-07-01 11:00:00,24.066666666666666,2.85,157.957126113248,11.799999999999999,46.166666666666664,1025.9833333333333,0.0,893.6666666666666,0.0
2025-07-01 12:00:00,24.483333333333334,2.9333333333333336,148.0,11.766666666666666,45.0,1025.8500000000001,0.0,872.5,0.0
2025-07-01 13:00:00,24.433333333333326,3.35,172.6859608646113,11.066666666666665,43.0,1025.8833333333334,0.0,803.5,0.0
2025-07-01 14:00:00,24.616666666666664,3.266666666666667,162.2444226165704,11.583333333333334,43.833333333333336,1025.8166666666668,0.0,702.0,0.0
2025-07-01 15:00:00,24.38333333333333,3.35,161.66448201149512,11.916666666666666,45.833333333333336,1025.675,0.0,574.6666666666666,0.0
2025-07-01 16:00:00,23.75,3.766666666666667,162.1663655959727,11.133333333333333,45.0,1025.6833333333332,0.0,430.0,0.0
2025-07-01 17:00:00,22.183333333333337,3.35,167.66665295299234,11.799999999999999,52.0,1025.6249999999998,0.0,278.1666666666667,0.0
2025-07-01 18:00:00,20.983333333333334,2.9333333333333336,154.6700443946103,11.699999999999998,55.333333333333336,1025.7,0.0,141.33333333333334,0.0
2025-07-01 19:00:00,19.966666666666665,3.9333333333333336,144.3334311211201,12.016666666666667,60.333333333333336,1025.9916666666668,0.0,35.5,0.0
